experiment,model,n_clusters,n_features,MAE_mlp,MAE_mlp_noFS,MAE_lgbm,MAE_lgbm_noFS,MAE_pi-lgbm,MAE_pi-lgbm_noFS,MAE_S_mlp,MAE_S_mlp_noFS,MAE_S_lgbm,MAE_S_lgbm_noFS,MAE_S_pi-lgbm,MAE_S_pi-lgbm_noFS,MAE_Y_mlp,MAE_Y_mlp_noFS,MAE_Y_lgbm,MAE_Y_lgbm_noFS,MAE_Y_pi-lgbm,MAE_Y_pi-lgbm_noFS,RMSE_mlp,RMSE_mlp_noFS,RMSE_lgbm,RMSE_lgbm_noFS,RMSE_pi-lgbm,RMSE_pi-lgbm_noFS,RMSE_S_mlp,RMSE_S_mlp_noFS,RMSE_S_lgbm,RMSE_S_lgbm_noFS,RMSE_S_pi-lgbm,RMSE_S_pi-lgbm_noFS,RMSE_Y_mlp,RMSE_Y_mlp_noFS,RMSE_Y_lgbm,RMSE_Y_lgbm_noFS,RMSE_Y_pi-lgbm,RMSE_Y_pi-lgbm_noFS,R2_mlp,R2_mlp_noFS,R2_lgbm,R2_lgbm_noFS,R2_pi-lgbm,R2_pi-lgbm_noFS,R2_S_mlp,R2_S_mlp_noFS,R2_S_lgbm,R2_S_lgbm_noFS,R2_S_pi-lgbm,R2_S_pi-lgbm_noFS,R2_Y_mlp,R2_Y_mlp_noFS,R2_Y_lgbm,R2_Y_lgbm_noFS,R2_Y_pi-lgbm,R2_Y_pi-lgbm_noFS,R2adj_mlp,R2adj_mlp_noFS,R2adj_lgbm,R2adj_lgbm_noFS,R2adj_pi-lgbm,R2adj_pi-lgbm_noFS,R2adj_S_mlp,R2adj_S_mlp_noFS,R2adj_S_lgbm,R2adj_S_lgbm_noFS,R2adj_S_pi-lgbm,R2adj_S_pi-lgbm_noFS,R2adj_Y_mlp,R2adj_Y_mlp_noFS,R2adj_Y_lgbm,R2adj_Y_lgbm_noFS,R2adj_Y_pi-lgbm,R2adj_Y_pi-lgbm_noFS,R_mlp,R_mlp_noFS,R_lgbm,R_lgbm_noFS,R_pi-lgbm,R_pi-lgbm_noFS,R_S_mlp,R_S_mlp_noFS,R_S_lgbm,R_S_lgbm_noFS,R_S_pi-lgbm,R_S_pi-lgbm_noFS,R_Y_mlp,R_Y_mlp_noFS,R_Y_lgbm,R_Y_lgbm_noFS,R_Y_pi-lgbm,R_Y_pi-lgbm_noFS
test1_linreg_nc5_nv8_nd9,linreg,5,22,0.5858409822371508,0.5570314344913063,0.6551114878180763,0.6653394704998165,0.5435628968305143,0.5507676831883231,0.1378801787597319,0.1174201357191325,0.2944750008544034,0.2794673262265165,0.1741456631594145,0.180355662726892,2.8411413033803306,2.7176760151272727,2.8741765894046845,2.982574010084192,2.86240245375124,2.9830225236047765,0.8441097978887813,0.8441070446008064,0.9077303889761732,0.9229964819925828,0.8771945246544582,0.8889623041014393,0.1524312820640493,0.2029702971976359,0.3283626816265663,0.3161515805147009,0.2463708376050377,0.2575096496601702,3.4508209619503902,3.304530434577378,3.630803953808272,3.7037580388100735,3.464530064452695,3.466819996495586,0.5559735940332386,0.5559764906482839,0.486518660512157,0.4691021006934335,0.5204844007678309,0.507532464446995,0.9726158330557496,0.9514469737375744,0.8729253516812042,0.8822008806989091,0.9284631308652826,0.9218483152065688,-0.1848386039468379,-0.0865103128962119,-0.3116559697188774,-0.3648959810552554,-0.1942713380937446,-0.195850602211705,0.5356646939682308,0.5069672732805448,0.463033027521029,0.4105040985624659,0.4985522943580435,0.4531762243197317,1.0273841669442505,1.0136944433047868,1.127074648318796,1.0332253926233843,1.0715368691347174,1.022042782890455,-1.5567569874642295,5.949658092082744,-1.830415513603893,7.217859469251719,-1.57711183483387,6.447763854519989,0.7480983487665909,0.7531716383165342,0.7315492738912361,0.711576444013497,0.7474469836709079,0.7367191734761906,0.9969187339133768,0.9955042236305216,0.9980635345431228,0.9972936179055132,0.9987377182423324,0.9955660938838132,0.0860849864022929,0.273711465260934,-0.1791877337472111,-0.2042158689120418,0.1182760576601676,0.1513342517890194
test1_linreg_Anc5_nv8_nd9,linreg,5,15,0.5767003900652367,0.6074923171314396,0.679030499221778,0.6747113655464831,0.562249476676404,0.5623908617780143,0.120811471185233,0.1598280298538388,0.3237362459505128,0.2981630101537605,0.1926947813442112,0.196295175147719,2.6245424974532354,2.834682816550845,2.605279943628697,2.9450812085978355,2.85802416921554,3.0464566007486384,0.8616025918701966,0.8725586615789872,0.949091935698322,0.9567653080297088,0.9012038090395847,0.910532714956424,0.1498934630030964,0.1984488041213922,0.3565419659152858,0.3431580724045591,0.2610671425352259,0.277183903469937,3.166722699298285,3.402717071169899,3.382408873968916,3.636839395391421,3.436271617787686,3.5698308448528144,0.5373794624117095,0.5255393675806808,0.4386580719071529,0.4295445224573012,0.4938759754389292,0.4833433493156461,0.9735200771463344,0.9535860744552884,0.8501790182697871,0.8612158824756935,0.9196740703825916,0.9094502320049522,0.0022208809239777,-0.1520359205135306,-0.1383257256924406,-0.3160202938577761,-0.1748686379073882,-0.2679718623814966,0.523159568838299,0.4731706443555903,0.4214037093633154,0.3665803417130739,0.4783188845200439,0.4263172289310596,1.0728197878475807,1.013091107204919,1.4120076997580853,1.0391442382760865,1.2208963064478726,1.0255396781524493,-0.573420918542958,6.248163637894972,-0.7950521058996178,6.995203560907647,-0.8526774674693429,6.776316261960151,0.7344608432394747,0.729293974759008,0.6949287047421759,0.6831601265980924,0.7266120241292097,0.7216830686884604,0.9916818833136516,0.9909302873781254,0.990558084258026,0.996080869190216,0.9958551138869494,0.9967122245877288,0.2285410513462372,0.0611321308252447,-0.0982558358845983,-0.2120204391145388,0.1540422473828985,0.0915907270060651
test1_linreg_DSnc5_nv8_nd9,linreg,5,21,0.5957569693080124,0.5748630786617088,0.5411708129305768,0.5442300246641334,0.5763037051251322,0.6810922587045852,0.1783601098087809,0.1081911753194076,0.0375240357779449,0.0375695081431861,0.1916099972753015,0.3260648150579263,3.4618678550635065,2.7176613620526733,2.798194075317356,2.815871549294317,3.0694961656222626,3.556670323615318,0.8459914369394638,0.8602711358823097,0.8705662866351206,0.8719801529151936,0.8631313558120097,0.910757621569674,0.1815380016323043,0.1189942769592487,0.0474679795693163,0.0488152000028776,0.1990708638783362,0.3581907326332917,3.998688804650811,3.2493695881142903,3.4758472320458096,3.512697781210873,3.719585491294936,4.329407436179231,0.5539917934487044,0.5388081557846875,0.5277036329264888,0.526168296289375,0.5357363266125847,0.4830880836968085,0.9611593553129442,0.9833120312471664,0.9973444601529192,0.9971915837646764,0.9532946392210896,0.8487901719498068,-0.590924442662287,-0.0505399288378265,-0.2020864494127245,-0.2277103400387143,-0.3765862611833359,-0.8649674585286968,0.5345599006321542,0.4879039787189798,0.5071264053154022,0.4738689912440521,0.5155090711330501,0.4260337882991053,1.0427247091557614,1.0047068629815683,1.002921093831789,1.0007921173997067,1.0513758968568017,1.0426489258603109,-2.2613951074576883,5.785793009150098,-1.4642772212960855,6.592902660176366,-1.8220018354258385,9.49596286663073,0.7579219527905899,0.738679006000732,0.7265319468092614,0.7254596116134444,0.7475408981994422,0.7468361398838188,0.99932910342055,0.9981685590843408,0.998709569953024,0.998606383986933,0.9987753042328382,0.999254979947374,0.2959644287288582,0.3552622983426179,-0.2704506912232542,-0.2911410855759401,0.396433316285578,0.407365325828975
test2_linreg_nc5_nv8_nd9,linreg,5,18,0.554079901582251,0.5747154752339517,0.654625144477926,0.6653394704998165,0.5423400840916905,0.5507676831883231,0.1221115854698129,0.1105655154420269,0.286671630438722,0.2794673262265165,0.1945259545085798,0.180355662726892,2.587919178463164,2.840507087253389,2.950691769485033,2.982574010084192,2.976663876017576,2.9830225236047765,0.8231398959040059,0.8551331965296124,0.9114394403818068,0.9229964819925828,0.8804832272888931,0.8889623041014393,0.1655838041388578,0.1563151289376378,0.3293770339165917,0.3161515805147009,0.2803460360573923,0.2575096496601702,3.202427779849317,3.566734965950205,3.6792086935709816,3.7037580388100735,3.521709462712649,3.466819996495586,0.57776112223853,0.5443006093212788,0.4823138443519864,0.4691021006934335,0.5168821430766016,0.507532464446995,0.9676862738029084,0.971202594928111,0.8721390409384394,0.8822008806989091,0.9073724518263986,0.9218483152065688,-0.0204060612897343,-0.2657735592404149,-0.3468622675580337,-0.3648959810552554,-0.2340177009496482,-0.195850602211705,0.5620904010020219,0.4940026633302499,0.4631007499155652,0.4105040985624659,0.4989519958093414,0.4531762243197317,1.0507787125954298,1.0081223450202763,1.2009243642395953,1.0332253926233843,1.1455575757013736,1.022042782890455,-0.8189847179512655,6.766301769873001,-1.400928389994756,7.217859469251719,-1.199770684301547,6.447763854519989,0.7625134737830042,0.7393717910840137,0.7277835187548638,0.711576444013497,0.7531803870391772,0.7367191734761906,0.9917490471042252,0.9945803812435264,0.9989468815206416,0.9972936179055132,0.9978206563655384,0.9955660938838132,0.1815991822238718,0.0623345705899173,-0.1212685365129237,-0.2042158689120418,0.2102083608016872,0.1513342517890194
test2_linreg_Anc5_nv8_nd9,linreg,5,15,0.5761876607845936,0.5720218377158283,0.6753052639918393,0.6747113655464831,0.5585297738926907,0.5623908617780143,0.1874403518639387,0.1262948632920308,0.3157474005067398,0.2981630101537605,0.1971267538094067,0.196295175147719,2.8079856690906344,3.029128154118856,2.589244174397878,2.9450812085978355,2.801135604873485,3.0464566007486384,0.8733687712217807,0.8724435767482979,0.9426844004994386,0.9567653080297088,0.8921284347598136,0.910532714956424,0.2369603010147213,0.1668391527933421,0.3529914865413697,0.3431580724045591,0.2715877720325824,0.277183903469937,3.2936854502387867,3.572385118843258,3.3071255132104103,3.636839395391421,3.3097112982377745,3.5698308448528144,0.524657951629083,0.5256645158900138,0.4462119801428074,0.4295445224573012,0.5040182699520811,0.4833433493156461,0.9338236949477204,0.9671944532217374,0.8531480251157032,0.8612158824756935,0.913069584840405,0.9094502320049522,-0.0793904801614469,-0.2697870219107103,-0.0882174763643983,-0.3160202938577761,-0.089919859001208,-0.2679718623814966,0.5100470280111244,0.4733096059440992,0.4291898074012953,0.3665803417130739,0.4887729298891328,0.4263172289310596,1.181984838893769,1.0092528465272024,1.403842930931816,1.0391442382760865,1.2390586416888862,1.0255396781524493,-0.7021157571776664,6.784585322037681,-0.7160352511900128,6.995203560907647,-0.718719777655751,6.776316261960151,0.7323611499081863,0.7282123987901195,0.7027738880403754,0.6831601265980924,0.7379555116629994,0.7216830686884604,0.982302325176793,0.9923193949723564,0.9941042182952612,0.996080869190216,0.9949920807303884,0.9967122245877288,0.1936208106721832,0.0404498667647072,0.0096070599396495,-0.2120204391145388,0.3793013941411717,0.0915907270060651
test2_linreg_DSnc5_nv8_nd9,linreg,5,22,0.5816808115194267,0.5910122909819362,0.5498335942612462,0.5442300246641334,0.5750595277625148,0.6810922587045852,0.1663103753419978,0.0443690586402083,0.0360800839443713,0.0375695081431861,0.167685038371347,0.3260648150579263,2.9926467263805017,2.9180540089007643,2.8946071152773944,2.815871549294317,2.7680776137582974,3.556670323615318,0.8287484627711432,0.8513677741403978,0.8765948605646418,0.8719801529151936,0.8638963175664572,0.910757621569674,0.1700433667737912,0.0590504666505891,0.0465634781624945,0.0488152000028776,0.1740806906616773,0.3581907326332917,3.50132772252137,3.7520815788333497,3.5879538293447664,3.512697781210873,3.381548041144899,4.329407436179231,0.571987564543017,0.5483049512604725,0.5211397856135019,0.526168296289375,0.5349130421211169,0.4830880836968085,0.9659222651580426,0.9958904147214022,0.9974446984649,0.9971915837646764,0.9642848456688532,0.8487901719498068,-0.2197753865055081,-0.4007443697515411,-0.2808787844877454,-0.2277103400387143,-0.1377463850562963,-0.8649674585286968,0.5524111121936333,0.4984489856159331,0.4992376552257619,0.4738689912440521,0.513640873569484,0.4260337882991053,1.0340777348419574,1.0011591137965277,1.0025553015351,1.0007921173997067,1.035715154331147,1.0426489258603109,-1.6321468866697808,7.381168795534799,-1.7640015875788193,6.592902660176366,-1.4551369361741129,9.49596286663073,0.767687503137957,0.7410071111342327,0.7219963602914176,0.7254596116134444,0.7433242639677726,0.7468361398838188,0.9992826372297592,0.998743160036559,0.9987219016494971,0.998606383986933,0.9988750410275316,0.999254979947374,0.5161666966551159,0.0562685185263884,-0.3504575776949143,-0.2911410855759401,0.5385494921178978,0.407365325828975
test3_linreg_nc5_nv8_nd9,linreg,5,17,0.5571327313987745,0.5699946688680303,0.6537039078194581,0.6653394704998165,0.5416975022126733,0.5507676831883231,0.1427764963536035,0.1331411696478931,0.2966675227586711,0.2794673262265165,0.1884036120382611,0.180355662726892,2.7226644357045493,2.689791758855184,2.771337760831321,2.982574010084192,2.9361153499124235,2.9830225236047765,0.8402236551701661,0.8550069104424755,0.9162169934459018,0.9229964819925828,0.8831257953791928,0.8889623041014393,0.1815141399909,0.1825306069410399,0.3383548892876432,0.3161515805147009,0.271032110760007,0.2575096496601702,3.2546354688422863,3.3191302602949104,3.547470121159373,3.7037580388100735,3.4766677542941684,3.466819996495586,0.5600526318895038,0.5444351947725553,0.4768724400639246,0.4691021006934335,0.5139778568585136,0.507532464446995,0.9611695651931564,0.960733451864434,0.8650738146942648,0.8822008806989091,0.9134249355290456,0.9218483152065688,-0.0539476670890395,-0.0961321962883781,-0.2521369550202847,-0.3648959810552554,-0.2026540549660436,-0.195850602211705,0.5446635264206181,0.4941521036878483,0.4585737394077244,0.4105040985624659,0.4969770823041818,0.4531762243197317,1.0711891304792134,1.0110751802433648,1.2473646730605146,1.0332253926233843,1.1587209515300831,1.022042782890455,-0.8004939312771091,5.993491116424833,-1.1390672981596532,7.217859469251719,-1.0545340105669911,6.447763854519989,0.7502850616677825,0.7390948212834012,0.7265063077974006,0.711576444013497,0.7487684527007239,0.7367191734761906,0.9901268825187526,0.9897013970819598,0.9995552314309488,0.9972936179055132,0.9989566469932584,0.9955660938838132,0.2255003775112702,0.1998169970077137,-0.0895440135223913,-0.2042158689120418,0.240498595435229,0.1513342517890194
test3_linreg_Anc5_nv8_nd9,linreg,5,16,0.563289985903317,0.5854017455093858,0.6813472752676955,0.6747113655464831,0.5620786824579312,0.5623908617780143,0.1144610785820063,0.1332446830864581,0.3187230129858553,0.2981630101537605,0.1857767834635907,0.196295175147719,2.490435725166684,3.012749785468692,2.59781839445347,2.9450812085978355,2.8615653327563515,3.0464566007486384,0.840483256680549,0.8785228814008641,0.951482984784264,0.9567653080297088,0.8947993359372897,0.910532714956424,0.1515074291009553,0.1791730057720172,0.3526910215331055,0.3431580724045591,0.2502401561370122,0.277183903469937,3.023226918020669,3.640368107652451,3.317543537072101,3.636839395391421,3.387720568616253,3.5698308448528144,0.5597807313204789,0.5190310171655875,0.4358261296008384,0.4295445224573012,0.5010440318475657,0.4833433493156461,0.9729467661519524,0.9621647604716244,0.8533979183991938,0.8612158824756935,0.9261984753886222,0.9094502320049522,0.0905981521688679,-0.3185753199871333,-0.0950844262130228,-0.3160202938577761,-0.1419037592875636,-0.2679718623814966,0.5453176752652995,0.4659439329675288,0.417290643099018,0.3665803417130739,0.4846512279657609,0.4263172289310596,1.0595171144657047,1.0106714778156958,1.3225245795217735,1.0391442382760865,1.1623633541450311,1.0255396781524493,-0.4914190304430565,7.00684312438583,-0.7959384589893574,6.995203560907647,-0.8727221652316044,6.776316261960151,0.7484006528154274,0.7238313118742389,0.6918772888356942,0.6831601265980924,0.7304096758391294,0.7216830686884604,0.9871922634279188,0.990957060501244,0.992801312329434,0.996080869190216,0.9956335432044474,0.9967122245877288,0.3406521216298232,-0.0238304170703375,-0.0188120985147917,-0.2120204391145388,0.1757079652491678,0.0915907270060651
test3_linreg_DSnc5_nv8_nd9,linreg,5,17,0.5537625056400991,0.5768819953849861,0.5430811385098583,0.5442300246641334,0.5565864095129108,0.6810922587045852,0.0911789588655975,0.0888269227179087,0.0387051307229227,0.0375695081431861,0.1484378562408027,0.3260648150579263,2.593763199590501,2.736090842590091,2.8363156079943623,2.815871549294317,2.804048401937392,3.556670323615318,0.8496642034280825,0.8335383438967876,0.8676973726855698,0.8719801529151936,0.8488227627173202,0.910757621569674,0.0960500081395882,0.094375156438422,0.0547239476812764,0.0488152000028776,0.1624790621315641,0.3581907326332917,3.115905070535793,3.4909746568232047,3.5163806449655404,3.512697781210873,3.36609553229488,4.329407436179231,0.5501108090986464,0.5670257376488437,0.5308113687099076,0.526168296289375,0.5510014377338557,0.4830880836968085,0.9891270812930704,0.9895029637243472,0.996470557044591,0.9971915837646764,0.9688866957354492,0.8487901719498068,0.0339874320743451,-0.2125725507520144,-0.2302860584504771,-0.2277103400387143,-0.1273719256468335,-0.8649674585286968,0.5343739443963357,0.5192360839677006,0.514399420701818,0.4738689912440521,0.5352957267080852,0.4260337882991053,1.0199336842960374,1.0029607025392866,1.00647064541825,1.0007921173997067,1.057041057818343,1.0426489258603109,-0.650271470206327,6.52394162009251,-1.1017386831862317,6.592902660176366,-0.925927039646674,9.49596286663073,0.7447402012438918,0.7555931640842161,0.7287006923246868,0.7254596116134444,0.7516409040662304,0.7468361398838188,0.9988561886021284,0.9982384284586944,0.99830201179083,0.998606383986933,0.9982097752248752,0.999254979947374,0.3731837109886906,0.2098840960467944,-0.2422075668468095,-0.2911410855759401,0.469354191451232,0.407365325828975
test4_linreg_nc5_nv8_nd9,linreg,5,19,0.5303165489098146,0.5642678445604231,0.6575712125800084,0.6653394704998165,0.5494773516903316,0.5507676831883231,0.0961530630916564,0.1254403541337639,0.2973631560711712,0.2794673262265165,0.1879434400435754,0.180355662726892,2.528729347955613,2.71686289423988,2.866084197300745,2.982574010084192,2.954047975570971,2.9830225236047765,0.8021843348558221,0.8449954064750509,0.9117702202600244,0.9229964819925828,0.8802448217833733,0.8889623041014393,0.1234927045736395,0.1738476958867221,0.3344199904895284,0.3161515805147009,0.2644487990903347,0.2575096496601702,3.11667953868151,3.44461288960847,3.531826690433558,3.7037580388100735,3.528158492914832,3.466819996495586,0.5989862453646574,0.5550413933132212,0.4819380185336204,0.4691021006934335,0.5171437320771883,0.507532464446995,0.9820264471457516,0.9643803861389644,0.8681938151932169,0.8822008806989091,0.9175796361770752,0.9218483152065688,0.0335071613842468,-0.1805793581211019,-0.2411181000902833,-0.3648959810552554,-0.2385413586433602,-0.195850602211705,0.583243969872774,0.5059289643190955,0.4616008746330806,0.4105040985624659,0.4981886306504663,0.4531762243197317,1.0247136351745918,1.0100465577556768,1.1812335041093267,1.0332253926233843,1.1133280002565216,1.022042782890455,-0.8011911992384491,6.378194853662798,-1.312992822895528,7.217859469251719,-1.3081907138353532,6.447763854519989,0.7756180474568957,0.747608487074995,0.7283704366789098,0.711576444013497,0.7476227343783988,0.7367191734761906,0.9946943655716772,0.9912195246829698,0.9992412402455452,0.9972936179055132,0.9986436057437108,0.9955660938838132,0.2690350508257154,0.1059561171297751,-0.0503521244800973,-0.2042158689120418,0.1205172872684762,0.1513342517890194
