,cluster,nodes_lat,nodes_lon
0,6,40.0,-100.0
1,6,40.0,-97.5
2,6,40.0,-95.0
3,6,40.0,-92.5
4,6,40.0,-90.0
5,6,40.0,-87.5
6,6,40.0,-85.0
7,6,40.0,-82.5
8,11,40.0,-80.0
9,11,40.0,-77.5
10,11,40.0,-75.0
11,11,40.0,-72.5
12,11,40.0,-70.0
13,11,40.0,-67.5
14,4,40.0,-65.0
15,4,40.0,-62.5
16,4,40.0,-60.0
17,4,40.0,-57.5
18,4,40.0,-55.0
19,4,40.0,-52.5
20,4,40.0,-50.0
21,2,40.0,-47.5
22,2,40.0,-45.0
23,2,40.0,-42.5
24,2,40.0,-40.0
25,2,40.0,-37.5
26,2,40.0,-35.0
27,8,40.0,-32.5
28,8,40.0,-30.0
29,8,40.0,-27.5
30,8,40.0,-25.0
31,8,40.0,-22.5
32,8,40.0,-20.0
33,10,40.0,-17.5
34,10,40.0,-15.0
35,10,40.0,-12.5
36,10,40.0,-10.0
37,3,40.0,-7.5
38,3,40.0,-5.0
39,3,40.0,-2.5
40,3,40.0,0.0
41,6,37.5,-100.0
42,6,37.5,-97.5
43,6,37.5,-95.0
44,6,37.5,-92.5
45,6,37.5,-90.0
46,6,37.5,-87.5
47,6,37.5,-85.0
48,6,37.5,-82.5
49,11,37.5,-80.0
50,11,37.5,-77.5
51,11,37.5,-75.0
52,11,37.5,-72.5
53,11,37.5,-70.0
54,11,37.5,-67.5
55,4,37.5,-65.0
56,4,37.5,-62.5
57,4,37.5,-60.0
58,4,37.5,-57.5
59,4,37.5,-55.0
60,4,37.5,-52.5
61,4,37.5,-50.0
62,2,37.5,-47.5
63,2,37.5,-45.0
64,2,37.5,-42.5
65,2,37.5,-40.0
66,2,37.5,-37.5
67,2,37.5,-35.0
68,8,37.5,-32.5
69,8,37.5,-30.0
70,8,37.5,-27.5
71,8,37.5,-25.0
72,8,37.5,-22.5
73,10,37.5,-20.0
74,10,37.5,-17.5
75,10,37.5,-15.0
76,10,37.5,-12.5
77,10,37.5,-10.0
78,3,37.5,-7.5
79,3,37.5,-5.0
80,3,37.5,-2.5
81,3,37.5,0.0
82,6,35.0,-100.0
83,6,35.0,-97.5
84,6,35.0,-95.0
85,6,35.0,-92.5
86,6,35.0,-90.0
87,6,35.0,-87.5
88,6,35.0,-85.0
89,11,35.0,-82.5
90,11,35.0,-80.0
91,11,35.0,-77.5
92,11,35.0,-75.0
93,11,35.0,-72.5
94,11,35.0,-70.0
95,11,35.0,-67.5
96,11,35.0,-65.0
97,4,35.0,-62.5
98,4,35.0,-60.0
99,4,35.0,-57.5
100,4,35.0,-55.0
101,4,35.0,-52.5
102,4,35.0,-50.0
103,4,35.0,-47.5
104,2,35.0,-45.0
105,2,35.0,-42.5
106,2,35.0,-40.0
107,2,35.0,-37.5
108,2,35.0,-35.0
109,8,35.0,-32.5
110,8,35.0,-30.0
111,8,35.0,-27.5
112,8,35.0,-25.0
113,10,35.0,-22.5
114,10,35.0,-20.0
115,10,35.0,-17.5
116,10,35.0,-15.0
117,10,35.0,-12.5
118,3,35.0,-10.0
119,3,35.0,-7.5
120,3,35.0,-5.0
121,3,35.0,-2.5
122,3,35.0,0.0
123,6,32.5,-100.0
124,6,32.5,-97.5
125,6,32.5,-95.0
126,6,32.5,-92.5
127,6,32.5,-90.0
128,6,32.5,-87.5
129,6,32.5,-85.0
130,11,32.5,-82.5
131,11,32.5,-80.0
132,11,32.5,-77.5
133,11,32.5,-75.0
134,11,32.5,-72.5
135,11,32.5,-70.0
136,11,32.5,-67.5
137,11,32.5,-65.0
138,4,32.5,-62.5
139,4,32.5,-60.0
140,4,32.5,-57.5
141,4,32.5,-55.0
142,4,32.5,-52.5
143,4,32.5,-50.0
144,9,32.5,-47.5
145,9,32.5,-45.0
146,9,32.5,-42.5
147,9,32.5,-40.0
148,9,32.5,-37.5
149,9,32.5,-35.0
150,9,32.5,-32.5
151,9,32.5,-30.0
152,9,32.5,-27.5
153,10,32.5,-25.0
154,10,32.5,-22.5
155,10,32.5,-20.0
156,10,32.5,-17.5
157,10,32.5,-15.0
158,3,32.5,-12.5
159,3,32.5,-10.0
160,3,32.5,-7.5
161,3,32.5,-5.0
162,3,32.5,-2.5
163,3,32.5,0.0
164,6,30.0,-100.0
165,6,30.0,-97.5
166,6,30.0,-95.0
167,6,30.0,-92.5
168,6,30.0,-90.0
169,6,30.0,-87.5
170,6,30.0,-85.0
171,6,30.0,-82.5
172,11,30.0,-80.0
173,11,30.0,-77.5
174,11,30.0,-75.0
175,11,30.0,-72.5
176,11,30.0,-70.0
177,11,30.0,-67.5
178,7,30.0,-65.0
179,7,30.0,-62.5
180,7,30.0,-60.0
181,7,30.0,-57.5
182,7,30.0,-55.0
183,7,30.0,-52.5
184,9,30.0,-50.0
185,9,30.0,-47.5
186,9,30.0,-45.0
187,9,30.0,-42.5
188,9,30.0,-40.0
189,9,30.0,-37.5
190,9,30.0,-35.0
191,9,30.0,-32.5
192,9,30.0,-30.0
193,9,30.0,-27.5
194,1,30.0,-25.0
195,1,30.0,-22.5
196,1,30.0,-20.0
197,1,30.0,-17.5
198,1,30.0,-15.0
199,1,30.0,-12.5
200,1,30.0,-10.0
201,3,30.0,-7.5
202,3,30.0,-5.0
203,3,30.0,-2.5
204,3,30.0,0.0
205,6,27.5,-100.0
206,6,27.5,-97.5
207,6,27.5,-95.0
208,6,27.5,-92.5
209,6,27.5,-90.0
210,6,27.5,-87.5
211,6,27.5,-85.0
212,6,27.5,-82.5
213,6,27.5,-80.0
214,7,27.5,-77.5
215,7,27.5,-75.0
216,7,27.5,-72.5
217,7,27.5,-70.0
218,7,27.5,-67.5
219,7,27.5,-65.0
220,7,27.5,-62.5
221,7,27.5,-60.0
222,7,27.5,-57.5
223,7,27.5,-55.0
224,7,27.5,-52.5
225,7,27.5,-50.0
226,7,27.5,-47.5
227,9,27.5,-45.0
228,9,27.5,-42.5
229,9,27.5,-40.0
230,9,27.5,-37.5
231,9,27.5,-35.0
232,9,27.5,-32.5
233,1,27.5,-30.0
234,1,27.5,-27.5
235,1,27.5,-25.0
236,1,27.5,-22.5
237,1,27.5,-20.0
238,1,27.5,-17.5
239,1,27.5,-15.0
240,1,27.5,-12.5
241,1,27.5,-10.0
242,3,27.5,-7.5
243,3,27.5,-5.0
244,3,27.5,-2.5
245,3,27.5,0.0
246,6,25.0,-100.0
247,6,25.0,-97.5
248,6,25.0,-95.0
249,6,25.0,-92.5
250,6,25.0,-90.0
251,6,25.0,-87.5
252,6,25.0,-85.0
253,6,25.0,-82.5
254,6,25.0,-80.0
255,7,25.0,-77.5
256,7,25.0,-75.0
257,7,25.0,-72.5
