,cluster,nodes_lat,nodes_lon
0,6,40.0,-180.0
1,6,40.0,-177.5
2,6,40.0,-175.0
3,6,40.0,-172.5
4,6,40.0,-170.0
5,6,40.0,-167.5
6,6,40.0,-165.0
7,6,40.0,-162.5
8,6,40.0,-160.0
9,6,40.0,-157.5
10,6,40.0,-155.0
11,6,40.0,-152.5
12,6,40.0,-150.0
13,6,40.0,-147.5
14,6,40.0,-145.0
15,6,40.0,-142.5
16,6,40.0,-140.0
17,6,40.0,-137.5
18,6,40.0,-135.0
19,6,40.0,-132.5
20,6,40.0,-130.0
21,4,40.0,-127.5
22,4,40.0,-125.0
23,4,40.0,-122.5
24,4,40.0,-120.0
25,4,40.0,-117.5
26,4,40.0,-115.0
27,4,40.0,-112.5
28,4,40.0,-110.0
29,4,40.0,-107.5
30,4,40.0,-105.0
31,4,40.0,-102.5
32,4,40.0,-100.0
33,4,40.0,-97.5
34,4,40.0,-95.0
35,4,40.0,-92.5
36,4,40.0,-90.0
37,4,40.0,-87.5
38,4,40.0,-85.0
39,4,40.0,-82.5
40,4,40.0,-80.0
41,7,40.0,-77.5
42,7,40.0,-75.0
43,7,40.0,-72.5
44,7,40.0,-70.0
45,7,40.0,-67.5
46,7,40.0,-65.0
47,7,40.0,-62.5
48,7,40.0,-60.0
49,7,40.0,-57.5
50,7,40.0,-55.0
51,7,40.0,-52.5
52,7,40.0,-50.0
53,7,40.0,-47.5
54,7,40.0,-45.0
55,7,40.0,-42.5
56,7,40.0,-40.0
57,7,40.0,-37.5
58,7,40.0,-35.0
59,7,40.0,-32.5
60,7,40.0,-30.0
61,7,40.0,-27.5
62,7,40.0,-25.0
63,7,40.0,-22.5
64,7,40.0,-20.0
65,7,40.0,-17.5
66,7,40.0,-15.0
67,7,40.0,-12.5
68,2,40.0,-10.0
69,2,40.0,-7.5
70,2,40.0,-5.0
71,2,40.0,-2.5
72,2,40.0,0.0
73,2,40.0,2.5
74,2,40.0,5.0
75,2,40.0,7.5
76,2,40.0,10.0
77,2,40.0,12.5
78,2,40.0,15.0
79,2,40.0,17.5
80,2,40.0,20.0
81,2,40.0,22.5
82,2,40.0,25.0
83,2,40.0,27.5
84,2,40.0,30.0
85,2,40.0,32.5
86,2,40.0,35.0
87,2,40.0,37.5
88,2,40.0,40.0
89,5,40.0,42.5
90,5,40.0,45.0
91,5,40.0,47.5
92,5,40.0,50.0
93,5,40.0,52.5
94,5,40.0,55.0
95,5,40.0,57.5
96,5,40.0,60.0
97,5,40.0,62.5
98,5,40.0,65.0
99,5,40.0,67.5
100,5,40.0,70.0
101,5,40.0,72.5
102,5,40.0,75.0
103,5,40.0,77.5
104,5,40.0,80.0
105,5,40.0,82.5
106,5,40.0,85.0
107,5,40.0,87.5
108,5,40.0,90.0
109,5,40.0,92.5
110,5,40.0,95.0
111,5,40.0,97.5
112,5,40.0,100.0
113,5,40.0,102.5
114,5,40.0,105.0
115,5,40.0,107.5
116,5,40.0,110.0
117,5,40.0,112.5
118,5,40.0,115.0
