,cluster,nodes_lat,nodes_lon
0,6,0.0,35.0
1,6,0.0,37.5
2,6,0.0,40.0
3,6,0.0,42.5
4,6,0.0,45.0
5,6,0.0,47.5
6,6,0.0,50.0
7,6,0.0,52.5
8,6,0.0,55.0
9,6,0.0,57.5
10,6,0.0,60.0
11,6,0.0,62.5
12,6,0.0,65.0
13,6,0.0,67.5
14,6,0.0,70.0
15,6,0.0,72.5
16,6,0.0,75.0
17,6,0.0,77.5
18,6,0.0,80.0
19,6,0.0,82.5
20,6,0.0,85.0
21,6,0.0,87.5
22,6,0.0,90.0
23,6,0.0,92.5
24,6,0.0,95.0
25,6,0.0,97.5
26,6,0.0,100.0
27,6,0.0,102.5
28,6,0.0,105.0
29,6,0.0,107.5
30,6,0.0,110.0
31,6,0.0,112.5
32,6,0.0,115.0
33,6,0.0,117.5
34,6,0.0,120.0
35,6,0.0,122.5
36,6,0.0,125.0
37,6,0.0,127.5
38,6,0.0,130.0
39,6,0.0,132.5
40,6,0.0,135.0
41,6,-2.5,35.0
42,6,-2.5,37.5
43,6,-2.5,40.0
44,6,-2.5,42.5
45,6,-2.5,45.0
46,6,-2.5,47.5
47,6,-2.5,50.0
48,6,-2.5,52.5
49,6,-2.5,55.0
50,6,-2.5,57.5
51,6,-2.5,60.0
52,6,-2.5,62.5
53,6,-2.5,65.0
54,6,-2.5,67.5
55,6,-2.5,70.0
56,6,-2.5,72.5
57,6,-2.5,75.0
58,6,-2.5,77.5
59,6,-2.5,80.0
60,6,-2.5,82.5
61,6,-2.5,85.0
62,6,-2.5,87.5
63,6,-2.5,90.0
64,6,-2.5,92.5
65,6,-2.5,95.0
66,6,-2.5,97.5
67,6,-2.5,100.0
68,6,-2.5,102.5
69,6,-2.5,105.0
70,6,-2.5,107.5
71,6,-2.5,110.0
72,6,-2.5,112.5
73,6,-2.5,115.0
74,6,-2.5,117.5
75,6,-2.5,120.0
76,6,-2.5,122.5
77,6,-2.5,125.0
78,6,-2.5,127.5
79,6,-2.5,130.0
80,6,-2.5,132.5
81,6,-2.5,135.0
82,6,-5.0,35.0
83,2,-5.0,37.5
84,2,-5.0,40.0
85,2,-5.0,42.5
86,2,-5.0,45.0
87,2,-5.0,47.5
88,2,-5.0,50.0
89,2,-5.0,52.5
90,2,-5.0,55.0
91,2,-5.0,57.5
92,2,-5.0,60.0
93,2,-5.0,62.5
94,2,-5.0,65.0
95,2,-5.0,67.5
96,2,-5.0,70.0
97,2,-5.0,72.5
98,2,-5.0,75.0
99,2,-5.0,77.5
100,2,-5.0,80.0
101,2,-5.0,82.5
102,2,-5.0,85.0
103,2,-5.0,87.5
104,2,-5.0,90.0
105,2,-5.0,92.5
106,2,-5.0,95.0
107,6,-5.0,97.5
108,6,-5.0,100.0
109,6,-5.0,102.5
110,6,-5.0,105.0
111,6,-5.0,107.5
112,6,-5.0,110.0
113,6,-5.0,112.5
114,6,-5.0,115.0
115,6,-5.0,117.5
116,6,-5.0,120.0
117,6,-5.0,122.5
118,6,-5.0,125.0
119,6,-5.0,127.5
120,6,-5.0,130.0
121,6,-5.0,132.5
122,6,-5.0,135.0
123,2,-7.5,35.0
124,2,-7.5,37.5
125,2,-7.5,40.0
126,2,-7.5,42.5
127,2,-7.5,45.0
128,2,-7.5,47.5
129,2,-7.5,50.0
130,2,-7.5,52.5
131,2,-7.5,55.0
132,2,-7.5,57.5
133,2,-7.5,60.0
134,2,-7.5,62.5
135,2,-7.5,65.0
136,2,-7.5,67.5
137,2,-7.5,70.0
138,2,-7.5,72.5
139,2,-7.5,75.0
140,2,-7.5,77.5
141,2,-7.5,80.0
142,2,-7.5,82.5
143,2,-7.5,85.0
144,2,-7.5,87.5
145,2,-7.5,90.0
146,2,-7.5,92.5
147,2,-7.5,95.0
148,2,-7.5,97.5
149,2,-7.5,100.0
150,2,-7.5,102.5
151,6,-7.5,105.0
152,6,-7.5,107.5
153,6,-7.5,110.0
154,6,-7.5,112.5
155,6,-7.5,115.0
156,6,-7.5,117.5
157,6,-7.5,120.0
158,6,-7.5,122.5
159,6,-7.5,125.0
160,6,-7.5,127.5
161,6,-7.5,130.0
162,6,-7.5,132.5
163,6,-7.5,135.0
164,2,-10.0,35.0
165,2,-10.0,37.5
166,2,-10.0,40.0
167,2,-10.0,42.5
168,2,-10.0,45.0
169,2,-10.0,47.5
170,2,-10.0,50.0
171,2,-10.0,52.5
172,2,-10.0,55.0
173,2,-10.0,57.5
174,2,-10.0,60.0
175,2,-10.0,62.5
176,2,-10.0,65.0
177,2,-10.0,67.5
178,2,-10.0,70.0
179,2,-10.0,72.5
180,2,-10.0,75.0
181,2,-10.0,77.5
182,2,-10.0,80.0
183,2,-10.0,82.5
184,2,-10.0,85.0
185,2,-10.0,87.5
186,2,-10.0,90.0
187,2,-10.0,92.5
188,2,-10.0,95.0
189,2,-10.0,97.5
190,2,-10.0,100.0
191,2,-10.0,102.5
192,2,-10.0,105.0
193,6,-10.0,107.5
194,6,-10.0,110.0
195,6,-10.0,112.5
196,6,-10.0,115.0
197,6,-10.0,117.5
198,6,-10.0,120.0
199,6,-10.0,122.5
200,6,-10.0,125.0
201,6,-10.0,127.5
202,6,-10.0,130.0
203,6,-10.0,132.5
204,6,-10.0,135.0
205,7,-12.5,35.0
206,7,-12.5,37.5
207,7,-12.5,40.0
208,7,-12.5,42.5
209,7,-12.5,45.0
210,7,-12.5,47.5
211,7,-12.5,50.0
212,7,-12.5,52.5
213,7,-12.5,55.0
214,7,-12.5,57.5
215,2,-12.5,60.0
216,2,-12.5,62.5
217,2,-12.5,65.0
218,2,-12.5,67.5
219,2,-12.5,70.0
220,2,-12.5,72.5
221,2,-12.5,75.0
222,2,-12.5,77.5
223,2,-12.5,80.0
224,2,-12.5,82.5
225,2,-12.5,85.0
226,2,-12.5,87.5
227,2,-12.5,90.0
228,2,-12.5,92.5
229,2,-12.5,95.0
230,2,-12.5,97.5
231,2,-12.5,100.0
232,2,-12.5,102.5
233,2,-12.5,105.0
234,2,-12.5,107.5
235,6,-12.5,110.0
236,6,-12.5,112.5
237,6,-12.5,115.0
238,6,-12.5,117.5
239,6,-12.5,120.0
240,6,-12.5,122.5
241,6,-12.5,125.0
242,6,-12.5,127.5
243,6,-12.5,130.0
244,6,-12.5,132.5
245,6,-12.5,135.0
246,7,-15.0,35.0
247,7,-15.0,37.5
248,7,-15.0,40.0
249,7,-15.0,42.5
250,7,-15.0,45.0
251,7,-15.0,47.5
252,7,-15.0,50.0
253,7,-15.0,52.5
254,7,-15.0,55.0
255,7,-15.0,57.5
256,7,-15.0,60.0
257,7,-15.0,62.5
258,7,-15.0,65.0
259,7,-15.0,67.5
260,7,-15.0,70.0
261,7,-15.0,72.5
262,7,-15.0,75.0
263,2,-15.0,77.5
264,2,-15.0,80.0
265,2,-15.0,82.5
266,2,-15.0,85.0
267,2,-15.0,87.5
268,1,-15.0,90.0
269,1,-15.0,92.5
270,1,-15.0,95.0
271,1,-15.0,97.5
272,1,-15.0,100.0
273,1,-15.0,102.5
274,1,-15.0,105.0
275,1,-15.0,107.5
276,1,-15.0,110.0
277,1,-15.0,112.5
278,1,-15.0,115.0
279,1,-15.0,117.5
280,1,-15.0,120.0
281,1,-15.0,122.5
282,1,-15.0,125.0
283,1,-15.0,127.5
284,1,-15.0,130.0
285,1,-15.0,132.5
286,1,-15.0,135.0
287,7,-17.5,35.0
288,7,-17.5,37.5
289,7,-17.5,40.0
290,7,-17.5,42.5
291,7,-17.5,45.0
292,7,-17.5,47.5
293,7,-17.5,50.0
294,7,-17.5,52.5
295,7,-17.5,55.0
296,7,-17.5,57.5
297,7,-17.5,60.0
298,7,-17.5,62.5
299,7,-17.5,65.0
300,7,-17.5,67.5
301,7,-17.5,70.0
302,7,-17.5,72.5
303,7,-17.5,75.0
304,7,-17.5,77.5
305,7,-17.5,80.0
306,7,-17.5,82.5
